"codigo","descripcion","um"
"LAEXI-SILCHICO","EXHIBIDOR CHICO P/CABLES EN BOBINA","UN"
"LAEXI-SILGRANDE","EXHIBIDOR P/CABLES EN BOBINA","UN"
"LAEXI-VEDACIT","EXHIBIDOR DE MEMBRANA","UN"
"LAEXI-VIQUA","EXHIBIDOR DE MANGUERA VIQUA","UN"
"LAEXI-CORNETA","EXHIBIDOR TABLERO P/ MACHETES","UN"
"LAEXI-OPTIMAMASTER","EXHIBIDOR MASTER OPTIMA","UN"
"LAEXI-OPTIMA","EXHIBIDOR DE FOCOS OPTIMA","UN"
"LAEXI-WORKSAFE","EXHIBIDOR WORKSAFE","UN"
"LA001871","POXILINA (10min) 70gr.","UN"
"LA010002510","CABO ROTATIVO 800AMP.""CG""","UN"
"LA010229910","PORTAELECTRODO CARBOGRAF.600A","UN"
"LA010401TR","MULTIMETRO DIGITAL(MUT-33)""TR""","UN"
"LA010514710","VALV.CORTA LLAMA ""CG"" VPMO-AV","UN"
"LA010759TR","BARRETA TRUPER 1""x1,50MTS.","UN"
"LA01100013","VALV. EXCLUSA(110)ITALY 4""","UN"
"LA011460TR","MECHA ROUTER""TR""MEDIA CANA 1/4","UN"
"LA01148-2","PAS.MARIPOSA 81098-NI 51mm 2""","UN"
"LA011593TR","CEP.COPA OND.G.P/TALAD""TR"" 3/4""","UN"
"LA012278TR","CORTA HIERRO C/PROT.TRUPER 8""","UN"
"LA01256-4","MANIJA P/INOX./40 86542 CR","UN"
"LA06128516","MECHA PLANA FAMAST. 5/16""","UN"
"LA530.008","LLAVE PARA CANO FAMASTIL 8","UN"
"LA533.012","LLAVE FRANCESA FAMASTIL 12","UN"
"LA0132","GRASA LITIO 90GR. ACEITODO","UN"
"LA013530TR","LLAVE TUBO 1/2""EST.""TR""16MM","UN"
"LA014003TR","DESTORN.PLANO""TR""1/4x1-1/2","UN"
"LA014286TR","GUANTE PIEL/CABRA P/ELECT.""TR""","PAR"
"LA014509TR","EXTRACTOR POLEA""TR""3PATAS 10""","UN"
"LA014926TR","BOQUILLA P/ENGRASADOR TRUPER","UN"
"LA015468TR","ANZUELO TRUPER No.20(100PZS)","PAQ"
"LA016512TR","MAZO 10LBS.""TR""MANGO 36""","UN"
"LA016627TR","MOTOSIERRA 45CC-20""TRUPER","UN"
"LA017108TR","BOLSON P/HERR.TRUPER 22""","UN"
"LA017433TR","PINZA GRIP""TR""BOCA LARGA 9""","UN"
"LA017901TR","CUTTER MET.+GOMA""TR""25mm+3HOJAS","UN"
"LA018123TR","MANDRIL S.COPA""TR""(1.1/4-2.3/4)","UN"
"LA536.004","CINTA METRICA 7,5MX25MM.FAMAS.","UN"
"LA6144114","PASADOR DORADO PULIDO 6""","UN"
"LA6302006","LLAVE COMBINADA FAMASTIL 11MM","UN"
"LA018306TR","MATERIAL BLOQUEADO","UN"
"LA019031TR","P.AEROSOL TRUPER NEGRO BRILL.400ML","UN"
"LA019281TR","CINTA+CATRACA""TR""675KGx3M(2PZS)","JGO"
"LA020403TR","LENTE SEGURIDAD AMBAR PRETUL","UN"
"LA021525TR","PINCEL PRETUL NATURAL 1-1/2""","UN"
"LA02229B","LIMA MOTOSIERRA NIC.3/16-4,8mm","DOC"
"LA022850TR","REMACHADORA 10"" PRETUL","UN"
"LA024200TR","LAMINAS P/MASILLAR EN JGO 4PZS.PRETUL","JGO"
"LA025","KIT REPARO ENGRASADOR HIDROMAR","UN"
"LA027201TR","PRENSA TIPO C PRETUL 3""","UN"
"LA03540-2","TRANCA P/VENTANA 86108/2 ZLO","UN"
"LA044101TR","MOSQUETON DESTORCEDOR 5/16""FIERO","UN"
"LA044441TR","BOLA TIRA TRAILER 2000LB-FIERO","UN"
"LA6302016","LLAVE COMBINADA FAMASTIL 21MM","UN"
"LA6652405","LLAVE EXCLUSA 1 1/4","UN"
"LA90118634","ALICATE UNIVERSAL FAMASTIL 8","UN"
"LA04702","CORTA CESPED CID35CM 1050W/220V","UN"
"LA057023TR","PALITA PLAST. KLINTEK","UN"
"LA06610011","CANILLA C/PAL.(661)ITALY 1""","UN"
"LA08621002","REPISA ESQUINERO VIDRIO 0,8X25X25CM","UN"
"LA10057448","PIEDRA P/AFILAR NORTON JB 7""","UN"
"LA10058269","TELA ESMERIL NORTON K246/180","UN"
"LA10108000","PISTOLA GRAV.2,5mm MOD.12 ALUM","UN"
"LA10136","PRENSA TIPO RIEL SOMAR 1,8m","UN"
